book_name,author_name,book_rating,no_rating,score,no_votes,author_country,author_dob,author_average_rating,authot_no_rating,author_no_review,author_distinct_work,author_followers
A Child's Christmas in Wales,Dylan Thomas,4.14,6145,265,4,Wales,1914,4.12,44136,2630,262,1133
Today I Feel Silly  Other Moods That Make My Day,Jamie Lee Curtis,4.16,4528,265,4,The United States,1958,4.08,15700,2316,34,161
"Rainbow Valley (Anne of Green Gables, #7)",L.M. Montgomery,0.0,43778,264,4,Canada,1874,4.22,1849989,73327,575,9716
"Catwings (Catwings, #1)",Ursula K. Le Guin,4.1,8087,264,4,The United States,1929,4.06,1177014,75887,735,20839
Borrowed Wings,Regina Puckett,4.51,39,263,4, ,0,4.29,2062,630,128,526
The Princess and the Pig,Jonathan Emmett,4.23,3658,261,4,The United Kingdom,0,4.11,6862,972,83,48
Who Sank the Boat?,Pamela Allen,4.09,3688,260,4,New Zealand,0,3.95,7976,518,79,67
The Snow Queen,Hans Christian Andersen,3.74,15035,260,4,Denmark,1805,4.1,329411,13111,3181,2925
I Want My Hat Back,Jon Klassen,4.32,29831,260,4,Canada,0,4.06,204702,27795,43,1239
"My Friend Is Sad (Elephant & Piggie, #2)",Mo Willems,4.37,9790,259,4,The United States,1968,4.3,556619,37639,148,3580
"The Dumb Bunnies (The Dumb Bunnies, #1)",Sue Denim,3.95,933,259,4,The United States,1966,3.99,2096,248,7,4
Stuck,Oliver Jeffers,4.24,9869,258,4,The United Kingdom,0,4.27,157018,18374,67,2148
Hello Ocean,Pam Muñoz Ryan,3.93,540,257,4,The United States,1951,4.11,166117,19674,61,1312
"Into the Land of the Unicorns (The Unicorn Chronicles, #1)",Bruce Coville,4.07,18103,257,4,The United States,1950,3.98,123762,6356,230,1080
ABC De Babar,Jean de Brunhoff,3.91,34,256,4,in France,1899,4.1,83848,899,112,64
"Ellen Tebbits (Ellen & Otis, #1)",Beverly Cleary,3.95,8085,256,4,The United States,1916,4.01,839094,23365,118,2931
Ferien auf Saltkrokan,Astrid Lindgren,4.34,4667,256,4,Sweden,1907,4.18,390623,12120,564,2946
My Lucky Day,Keiko Kasza,4.32,4074,256,4,Japan,0,4.14,10750,1304,31,52
"The Stonekeeper (Amulet, #1)",Kazu Kibuishi,4.17,82110,256,4,Japan,0,4.3,292312,22347,32,2818
"Toys Go Out: Being the Adventures of a Knowledgeable Stingray, a Toughy Little Buffalo, and Someone Called Plastic (Toys #1)",Emily Jenkins,3.94,4504,255,4,The United States,0,4.02,30935,4947,71,133
Five Little Speckled Frogs,Nikki Smith,3.94,143,254,4,The United States,0,3.99,3276,146,20,23
