book_name,author_name,book_rating,no_rating,score,no_votes,author_country,author_dob,author_average_rating,authot_no_rating,author_no_review,author_distinct_work,author_followers
"Among the Hidden (Shadow Children, #1)",Margaret Peterson Haddix,3.99,117724,254,4,The United States,1964,3.99,556630,34229,89,5545
Le Petit Nicolas,René Goscinny,4.14,37080,254,4,France,1926,4.14,305526,8027,919,1080
Grasshopper on the Road,Arnold Lobel,4.17,1013,253,4,The United States,1933,4.24,253964,6913,171,399
The Midwife's Apprentice,Karen Cushman,3.72,41558,253,4,The United States,0,3.72,97409,5857,24,576
Little Witch,Anna Elizabeth Bennett,4.19,1658,251,4, ,0,4.19,1658,234,1,7
The Great Gilly Hopkins,Katherine Paterson,3.84,21807,250,4,China,1932,3.98,576141,21350,78,1688
"Mr. Putter & Tabby Pour the Tea (Mr. Putter & Tabby, #1)",Cynthia Rylant,4.34,1768,250,4,The United States,1954,4.06,127371,12350,304,688
Flutterby,Stephen Cosgrove,4.21,1061,249,4,The United States,1945,4.13,26694,1188,232,293
The Story of the Little Mole Who Went in Search of Whodunit,Werner Holzwarth,4.22,3857,249,4,Germany,0,4.19,3942,364,19,9
Mouse Soup,Arnold Lobel,4.21,5569,248,4,The United States,1933,4.24,253964,6913,171,399
I Am Not Going to Get up Today!,Dr. Seuss,4.03,4877,247,4,The United States,1904,4.25,3513236,62027,399,16966
The Complete Adventures of Snugglepot and Cuddlepie,May Gibbs,4.06,4563,247,4,in The United Kingdom,1877,4.06,4916,169,61,23
Little Lord Fauntleroy,Frances Hodgson Burnett,3.87,20130,247,4,The United Kingdom,1849,4.15,1354260,34720,657,3618
The Gruffalo's Child,Julia Donaldson,4.34,8870,247,4,The United Kingdom,0,4.29,137876,9893,595,1343
The Light Princess,George MacDonald,4.02,7323,246,4,Scotland,1824,4.04,103762,8253,848,1832
"Urmel aus dem Eis (Urmel, #1)",Max Kruse,4.2,834,245,4,Germany,1921,4.0,1637,46,108,7
Journey,Aaron Becker,4.33,12695,245,4, ,0,4.33,21322,3469,13,306
Library Lion,Michelle Knudsen,4.41,9959,244,4,in The United States,0,4.16,18747,2581,48,0
Fortunately,Remy Charlip,4.18,1305,243,4,,1929,3.98,2793,553,28,22
Yo! Yes?,Chris Raschka,3.89,5504,242,4,The United States,1959,3.79,43700,8446,102,111
Mr. Putter & Tabby Take the Train,Cynthia Rylant,4.17,587,242,4,The United States,1954,4.06,127371,12350,304,688
Pajama Time!,Sandra Boynton,4.21,11126,241,4,The United States,1953,4.18,201466,7474,114,867
"The Worst Witch (Worst Witch, #1)",Jill Murphy,3.96,20520,241,4,The United Kingdom,1949,4.05,46240,2425,81,280
Socks,Beverly Cleary,3.93,9211,240,4,The United States,1916,4.01,839094,23365,118,2931
Mr. Putter & Tabby Feed the Fish,Cynthia Rylant,4.26,594,239,4,The United States,1954,4.06,127371,12350,304,688
Higglety Pigglety Pop! or There Must Be More to Life,Maurice Sendak,4.19,1653,239,4,The United States,1928,4.21,1166172,22351,48,1752
"All-of-a-Kind Family Downtown (All-of-a-Kind-Family, #2)",Sydney Taylor,4.19,5750,238,4,The United States,1904,4.22,44187,1733,9,112
"Betsy-Tacy (Betsy-Tacy, #1)",Maud Hart Lovelace,4.06,24107,238,4,The United States,1892,4.19,92054,4301,36,608
"Anastasia Krupnik (Anastasia Krupnik, #1)",Lois Lowry,3.89,14492,237,4,The United States,0,4.1,3102884,127414,74,19165
Walter the Farting Dog,William Kotzwinkle,3.91,3430,237,4,The United States,0,4.0,24754,2090,74,188
The Sissy Duckling,Harvey Fierstein,3.94,588,236,4,The United States,1952,4.15,3087,206,19,72
Tar Beach,Faith Ringgold,4.13,8745,235,4, ,0,4.1,11793,1142,36,39
Angelina and Henry,Katharine Holabird,3.85,275,235,4,The United States,1948,3.95,17697,773,177,55
"More All-of-a-Kind Family (All-of-a-Kind-Family, #3)",Sydney Taylor,4.22,6331,235,4,The United States,1904,4.22,44187,1733,9,112
My Little Book of Poems,Rebecca  Heller,4.1,30,235,4, ,0,3.73,90,14,6,1
"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,4.73,267756,234,4,The United Kingdom,1965,4.46,29982887,669970,275,217803
"Rose in Bloom (Eight Cousins, #2)",Louisa May Alcott,4.04,22276,233,4,The United States,1832,4.09,2216825,57364,1004,7554
Peek-a-Boo,Janet Ahlberg,4.24,4888,233,4,in The United Kingdom,1944,4.3,49614,2201,42,111
"Farmer Boy (Little House, #2)",Laura Ingalls Wilder,4.07,62330,233,4,The United States,1867,4.19,1233057,29397,396,4236
Mr. Putter & Tabby Catch the Cold,Cynthia Rylant,4.31,683,232,4,The United States,1954,4.06,127371,12350,304,688
How to Dig a Hole to the Other Side of the World,Faith McNulty,4.2,481,231,4,The United States,1918,4.16,3097,421,32,18
Stone Soup,Marilyn Sapienza,4.08,474,231,4, ,0,4.07,482,25,7,1
The Bunny Book,Patricia M. Scarry,4.27,4053,231,4, ,0,4.29,25155,338,49,18
"Dealing with Dragons (Enchanted Forest Chronicles, #1)",Patricia C. Wrede,4.13,88564,231,4,The United States,0,4.1,324053,15988,54,3558
Frida,Jonah Winter,4.16,1394,230,4,The United States,1962,4.0,13135,2925,56,71
"Emily's Quest (Emily, #3)",L.M. Montgomery,4.12,18183,230,4,Canada,1874,4.22,1849989,73327,575,9716
How Do Dinosaurs Get Well Soon?,Jane Yolen,4.1,5394,229,4,The United States,0,3.96,378334,30965,846,2818
Lady and the Tramp,Teddy Slater,4.38,32409,229,4, ,0,4.39,70001,598,144,27
"Ramona Forever (Ramona, #7)",Beverly Cleary,4.06,33886,229,4,The United States,1916,4.01,839094,23365,118,2931
The Caboose Who Got Loose,Bill Peet,4.15,1468,228,4,The United States,1915,4.15,24217,1765,43,184
Jane of Lantern Hill,L.M. Montgomery,4.16,8366,227,4,Canada,1874,4.22,1849989,73327,575,9716
Mr. Gumpy's Outing,John Burningham,3.99,4406,226,4,The United Kingdom,0,3.85,12289,1624,94,85
Mr. Putter & Tabby Write the Book,Cynthia Rylant,4.26,631,226,4,The United States,1954,4.06,127371,12350,304,688
"""I Can't,"" Said the Ant",Polly Cameron,4.11,734,226,4, ,0,4.11,756,93,7,3
The Red Tree,Shaun Tan,4.51,5603,226,4,Australia,1974,4.27,111997,12846,27,2197
Grandfather Twilight,Barbara Helen Berger,4.37,2037,226,4, ,0,4.25,3926,406,11,36
The Wonderful Adventures of Nils,Selma Lagerlöf,4.05,10489,225,4,Sweden,1858,3.84,32578,2337,515,496
The Other Side,Jacqueline Woodson,4.51,8185,225,4,The United States,0,4.06,307689,44818,82,7696
Crow Boy,Taro Yashima,3.95,1631,225,4, ,0,3.87,2597,384,16,13
Lassie Come-Home,Eric Knight,4.18,22202,225,4,,1901,4.16,24983,415,17,42
King of the Wind: The Story of the Godolphin Arabian,Marguerite Henry,4.2,25181,225,4,The United States,1902,4.1,140849,3848,55,588
"A Splendid Friend, Indeed",Suzanne Bloom,3.92,1430,224,4,The United States,0,3.71,3718,762,24,17
B Is for Beaver: An Oregon Alphabet,Marie Smith,3.79,77,223,4, ,0,3.74,622,133,70,3
The Three Questions,Jon J. Muth,4.35,4643,223,4,The United States,1960,4.33,122906,8036,96,294
"Into the Wild (Warriors, #1)",Erin Hunter,4.3,85677,222,4, ,0,4.35,1037833,40276,254,7820
Mr. Putter & Tabby Toot the Horn,Cynthia Rylant,4.16,464,222,4,The United States,1954,4.06,127371,12350,304,688
"The Field Guide (The Spiderwick Chronicles, #1)",Tony DiTerlizzi,3.91,82177,222,4,The United States,0,3.95,325600,15964,50,1901
Les Malheurs de Sophie,Comtesse de Ségur,3.9,4449,222,4,Russian Federation,1799,3.86,13960,720,152,174
D'Aulaires' Book of Norse Myths,Ingri d'Aulaire,4.39,4082,221,4,Norway,1904,4.32,32265,2133,33,123
"Dogs Don't Tell Jokes (Someday Angeline, #2)",Louis Sachar,3.81,2286,221,4,The United States,0,4.0,1362030,36990,77,3269
The Wolf Who Cried Boy,Bob Hartman,4.07,893,220,4, ,0,4.12,1722,303,135,9
The Number Devil: A Mathematical Adventure,Hans Magnus Enzensberger,3.92,5897,220,4,Germany,1929,4.04,18833,1905,248,119
Trucks,Byron Barton,3.9,770,218,4, ,0,3.76,10996,1382,61,38
Miss Spider's Wedding,David Kirk,3.73,449,217,4,The United States,1955,3.86,7245,786,98,30
Big Momma Makes the World,Phyllis Root,4.29,268,217,4,The United States,1949,3.97,8267,1532,87,56
Tales From the Glades of Ballymore,Bob  Brooks,3.45,29,217,4,in The United States,0,0.0,0,36,13,11
"The Princess in Black (The Princess in Black, #1)",Shannon Hale,4.09,9226,217,4,The United States,0,3.97,720206,74717,100,12502
"Der Räuber Hotzenplotz (Hotzenplotz, #1)",Otfried Preußler,4.21,4824,216,4,Czech Republic,1923,4.1,42283,1429,90,214
"Howliday Inn (Bunnicula, #2)",James Howe,3.95,13240,216,4,The United States,1946,3.88,129711,7747,140,403
Tim Burton's The Nightmare Before Christmas,Tim Burton,4.53,5141,216,4,The United States,1958,4.22,58895,3618,124,1873
Pirates Don't Change Diapers,Melinda Long,4.17,8940,215,4, ,0,4.11,34494,909,10,26
How Are You Peeling?,Saxton Freymann,4.09,1739,215,4,The United States,1980,4.08,3610,507,28,15
Mr. Putter & Tabby Paint the Porch,Cynthia Rylant,4.35,652,213,4,The United States,1954,4.06,127371,12350,304,688
Moses: When Harriet Tubman Led Her People to Freedom,Carole Boston Weatherford,4.36,5757,213,4,,1956,4.2,25195,5004,71,266
Scrambled Eggs Super!,Dr. Seuss,3.78,2543,212,4,The United States,1904,4.25,3513236,62027,399,16966
"The Good, the Bad, and the Goofy (Time Warp Trio #3)",Jon Scieszka,3.75,1000,212,4,The United States,1954,4.18,377909,16151,156,1131
Morris and Boris: Three Stories,Bernard Wiseman,4.22,130,212,4,The United States,1922,4.14,5510,264,43,9
Wacky Wednesday,Theo LeSieg,4.23,12270,212,4,The United States,1904,4.13,100195,2424,16,83
A Traveller in Time,Alison Uttley,4.09,2448,212,4,The United Kingdom,1884,4.09,4351,415,125,45
Interrupting Chicken,David Ezra Stein,4.21,16228,211,4, ,0,4.05,29325,3703,24,105
"House of Many Ways (Howl's Moving Castle, #3)",Diana Wynne Jones,4.06,32365,211,4,The United Kingdom,1934,4.11,633993,42775,98,9327
Strawberry Girl,Lois Lenski,3.87,12645,211,4,The United States,1893,4.04,78275,3895,116,142
East o' the Sun and West o' the Moon,Peter Christen Asbjørnsen,4.29,2157,210,4,Norway,1812,4.16,25624,1318,225,72
Mr. Putter & Tabby Run the Race,Cynthia Rylant,4.22,451,210,4,The United States,1954,4.06,127371,12350,304,688
The Biggest Bed in the World,Lindsay Camp,4.12,104,210,4, ,0,3.77,284,46,23,2
Kirsten's Boxed Set,Janet Beeler Shaw,4.03,5533,210,4, ,0,3.97,61977,1577,45,68
Frindle,Andrew Clements,3.83,111324,210,4,The United States,1949,3.86,257723,16662,127,1659
"The Castle in the Attic (The Castle in the Attic, #1)",Elizabeth Winthrop,3.96,18108,210,4,The United States,0,3.92,24498,1591,63,0
"Knight's Castle (Tales of Magic, #2)",Edward Eager,4.05,5225,208,4,The United States,1911,4.0,61113,2574,19,277
Dig Dig Digging,Margaret  Mayo,3.93,602,207,4,The United Kingdom,1935,3.77,1931,346,64,6
"The Celery Stalks at Midnight (Bunnicula, #3)",James Howe,3.93,12189,206,4,The United States,1946,3.88,129711,7747,140,403
"Through the Looking-Glass and What Alice Found There (Alice's Adventures in Wonderland, #2)",Lewis Carroll,4.04,126104,206,4,England,1832,4.05,1466367,39447,1270,7180
The Berenstains' B Book (Bright & Early Books),Stan Berenstain,4.19,6189,206,4,The United States,1923,4.11,393818,8491,576,590
Mr. Putter & Tabby See the Stars,Cynthia Rylant,4.19,503,205,4,The United States,1954,4.06,127371,12350,304,688
Dancing Shoes,Noel Streatfeild,4.08,5202,204,4,The United Kingdom,1895,4.01,62219,3372,104,484
"The Way Back Home (The Boy, #3)",Oliver Jeffers,4.12,3479,203,4,The United Kingdom,0,4.27,157018,18374,67,2148
The Best Nest,P.D. Eastman,4.21,13863,202,4,The United States,1909,4.18,384990,5919,48,350
Mr. Putter & Tabby Row the Boat,Cynthia Rylant,4.22,516,201,4,The United States,1954,4.06,127371,12350,304,688
"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.92,1576610,201,4,The United States,1983,3.97,2674032,64997,54,32399
Too Much Noise,Ann McGovern,4.17,478,200,4, ,0,4.25,33365,955,74,33
Snobbles the Great: A Snooze Patch Story,Jason Dobkin,4.7,10,200,4, ,0,0.0,0,10,3,0
Artie and the Princess,Marjorie Torrey,4.45,31,200,4, ,0,3.63,129,49,12,1
The Little Rose,Sheri   Fink,4.54,67,200,4,The United States,0,4.56,186,59,14,169
"Sea Cutter (Chronicles of Nathaniel Childe, #1)",Timothy C.    Davis,4.29,59,200,4,The United States,0,4.26,78,26,2,25
Bob's Booger,Scott Black,3.94,33,200,4, ,0,3.65,184,19,3,3
Bubba the Cowboy Prince: A Fractured Texas Tale,Helen Ketteman,4.22,604,200,4, ,0,4.13,6184,1035,29,70
A Shirtful of Frogs,Shalini Boland,4.37,108,200,4, ,0,3.95,92818,7958,27,2026
The Christmas Village,Melissa Ann Goodwin,4.42,40,200,4, ,0,4.55,60,26,3,46
Princess Charleston of the Isle of Palms,Kelly Sheehy DeGroot,3.78,40,200,4, ,0,3.79,43,2,5,1
The Most Curious Girl in Her Class: The Adventures of Hecky and Shmecky,Herman Huber,4.67,6,200,4, ,0,0.0,0,7,3,2
A Christmas Morning,Clifton Bingham,4.57,7,200,4, ,0,0.0,0,38,19,0
Grandma! Can I Get a Dog?,Barry Jordan Jr.,4.51,35,200,4,The United States,0,0.0,0,35,10,17
The Unicorn Adventures: How a Young Boy Finds God's Love,Thomas Rosa,4.27,11,200,4,The United States,0,0.0,0,11,4,2
"Steam Train, Dream Train",Sherri Duskey Rinker,4.17,3306,200,4,The United States,0,4.22,20897,2174,33,125
Adventure-Pom!,Sean Dryden,4.06,52,200,4,The United States,0,4.13,56,9,4,3
Eli the Minnow and The Coral Cave Adventure,David L. Sterling,4.58,12,200,4,in The United States,0,0.0,0,12,5,0
The Dalmatian Plantation: Max's Journey,Teresa Anderson,4.89,27,200,4, ,0,0.0,0,50,6,6
The Mystery of Dragon Bridge: A Peach Blossom Village Story,Ann Howard,4.83,6,200,4, ,0,3.92,24,5,23,0
The Princess in the Clouds,Steve Valiquette,0.0,4,200,4, ,0,0.0,0,4,3,4
"The Case of the Peanut Butter Bandit (The Ability Kids and K-9 Agency, vol1)",L.D. Cullen,4.9,10,200,4,Canada,1966,0.0,0,10,5,13
Put It On the List!,Kristen Darbyshire,3.92,266,200,4, ,0,3.92,266,72,1,3
The Unfriendly Dragon,Brae Wyckoff,4.65,26,200,4,The United States,0,4.0,420,111,10,214
The Star,Michele Breza,3.71,34,200,4, ,0,3.71,34,10,1,6
"A Dangerous Encounter (Mouse Nick Adventures, #1)",Liliya Akhmadeeva,4.5,12,200,4, ,0,4.27,70,31,3,9
Luke Walker: Animal Stick Up For-Er,Violet's Vegan Comics,4.71,21,200,4, ,0,0.0,0,89,18,10
I am running out of candies,Winnie Marth,4.26,38,200,4, ,0,4.26,38,6,1,0
Little Monkey,Morwen Bush,4.56,9,200,4, ,0,0.0,0,9,2,5
The Adventures of Lola,Jade Harley,4.33,87,200,4,The United Kingdom,0,4.34,106,37,5,0
Speech Therapy No More (Volume 1),Heather  Graham,4.06,16,200,4, ,0,0.0,0,63,12,0
I Have Squirrels in My Belly: A Child's View of Anxiety,Trish Hammond,0.0,15,200,4, ,0,4.52,33,4,9,4
Pika Bunny and the Thunderstorm: Conejito Pika Y La Tormenta,Wendy Gilhula,4.75,4,200,4, ,0,4.76,17,14,8,9
"Matt, the Green Cat: Inspirational Step Reading Chapter Book for Kids",Jenny  Mitchell,3.81,182,200,4, ,0,3.86,201,34,2,6
The Harp of Elvyth,Debbie Daley,4.4,15,200,4,The United Kingdom,0,4.43,28,2,8,0
White Wild Indigo: An Illustrated Collection of Poems for Children,Jet Widick,4.35,26,200,4, ,0,4.45,40,26,6,13
I Love Who I Am. Self-Love For Kids.,J.  O'Keefe,4.45,11,200,4,The United States,0,4.45,11,4,1,0
The Zoo,Ronald Destra,4.76,54,200,4, ,0,4.84,288,170,15,40
When I Was a Child: I Was Always Afraid,Michael Cascio,4.63,30,200,4, ,0,4.58,31,18,2,3
Ratman and Robin: The Attack of Catman and the Meows,K.A. Bolton,4.36,14,200,4, ,0,4.36,14,8,1,5
We Are Our Ancestors' Keepers,Charles 3x Alexander,0.0,5,200,4, ,0,5.0,5,0,1,3
Primrose’s Curse: A Fairy Tale of an Audacious Girl,Kiara Shankar,4.26,133,200,4,The United States,0,4.49,318,262,20,7
Nikki Durant and the Terrible Can't,David YayGrr,0.0,6,200,4,The United States,0,5.0,11,7,2,0
Let's talk! A story of Autism and Friendship,Lisa Jacovsky,4.83,47,200,4, ,0,4.77,87,74,2,0
I Hate my Curly Hair,Divya Anand,4.4,50,200,4, ,0,4.48,180,121,4,0
Danny and the DreamWeaver,Mark Poe,4.42,26,200,4, ,0,4.42,26,19,1,3
Christmas Activity Book for Smart Kids ayoub,"Ayoub ""Ayoubb"" Benali",4.67,3,200,4, ,0,0.0,0,3,3,0
Charlotte Bakeman Has Her Say,Mary E. Finger,4.8,5,199,4, ,0,0.0,0,5,1,0
Angelina's Baby Sister,Katharine Holabird,3.77,330,199,4,The United States,1948,3.95,17697,773,177,55
The Boy from the Sword,Ivonne Fernandez,4.6,5,199,4, ,0,0.0,0,51,18,2
Charlie Rabbit's Adventures - The complete collection,Ian   Davies,4.11,9,199,4, ,0,0.0,0,23,4,1
Mana,Asher Tensei,4.27,49,199,4,The United States,0,0.0,0,51,18,25
Small Hangers,Amy H. Fraher,4.17,12,199,4,in The United States,1972,0.0,0,12,4,3
Chemistry: The Atom and Elements,April Chloe Terrazas,4.23,64,199,4,The United States,0,4.24,335,66,35,46
"The Little Bear and the Big Bear: A story designed to help teach children how to deal with frustration, anxiety and anger.",Monica Dumont,4.23,13,199,4, ,0,0.0,0,53,36,9
Chesca and the Spirit of Grace,Lara O'Brien,4.33,21,199,4,Ireland,0,0.0,0,21,10,15
The Night Gardener,Jonathan Auxier,4.06,17548,199,4, ,0,4.19,40607,6685,9,1242
"Selfish Little Bob, Selfish No More!",Joyce  Mitchell,4.38,13,199,4,in The United States,0,0.0,0,279,76,274
The Little White Horse,Elizabeth Goudge,4.09,12368,199,4,The United Kingdom,1900,4.14,31704,3731,60,603
"Sherlock Academy (Sherlock Academy, #1)",F.C. Shaw,4.08,291,199,4,The United States,0,4.25,501,83,10,44
Sir Princess Petra's Mission (The Pen Pieyu Adventures #3),Diane Mae Robinson,4.72,47,199,4,Canada,0,4.57,300,166,7,0
Monty the fish goes to the Zoo,Vivienne Alonge,4.21,29,199,4, ,0,4.18,45,18,6,5
Beady Bear,Don Freeman,3.9,189,199,4,The United States,1908,4.29,283563,5059,107,171
Alice's Adventures in Wonderland & Other Stories,Lewis Carroll,4.24,30463,199,4,England,1832,4.05,1466367,39447,1270,7180
Please Don't Tell Cooper He's a Dog,Michelle Lander Feinberg,4.59,69,199,4,The United States,0,4.61,90,65,3,0
Farley Farts,Birte Müller,3.73,74,198,4, ,0,3.69,242,46,20,1
Jim Knopf und Lukas der Lokomotivführer,Michael Ende,4.27,7843,198,4,Germany,1929,4.21,269895,12733,160,2571
The Witch Family,Eleanor Estes,4.06,2738,198,4,The United States,1906,3.99,70026,4825,26,217
The Emperor of Absurdia,Chris Riddell,3.93,406,198,4,South Africa,1962,4.08,196561,20989,272,875
Bridges: A Tale of Niagara,D.K. LeVick,4.23,31,198,4,The United States,1947,0.0,0,55,26,45
Stories of Queens Day,Mark  Miller,4.36,14,198,4,in The United States,1973,4.55,681,104,71,113
"New Kids on the Rock (Small World Global Protection Agency, #1)",Mark  Miller,4.45,65,198,2,in The United States,1973,4.55,681,104,71,113
Iris Investigates: Beastly Goings On In Pelican Wharf,David Jacks,4.97,31,198,2, ,0,4.81,243,22,18,7
A Snow Baby,Clifton Bingham,4.25,8,198,2, ,0,0.0,0,38,19,0
Neurology: The Amazing Central Nervous System,April Chloe Terrazas,4.37,60,198,2,The United States,0,4.24,335,66,35,46
Sir Princess Petra (The Pen Pieyu Adventures #1),Diane Mae Robinson,4.52,69,198,2,Canada,0,4.57,300,166,7,0
Walter Wolf Goes to School,Leela Hope,4.46,28,198,2,The United States,0,4.2,2355,357,160,12
Kid Dinosaur Billy Getting Ready for Bedtime,Sebastian R.Jones,4.76,21,198,2, ,0,4.76,21,11,1,2
Roverandom,J.R.R. Tolkien,3.88,13038,197,2,South Africa,1892,4.35,9521964,157438,385,63044
Mr. Putter & Tabby Spill the Beans,Cynthia Rylant,4.06,372,197,2,The United States,1954,4.06,127371,12350,304,688
The Miracle of Rain,Sherry Rossman,4.05,19,197,2, ,0,4.05,82,55,9,0
"Blueblah the Sleepy Raccoon: A story about the importance of participating, and overcoming self-doubt and anxiety.",Monica Dumont,4.89,9,197,2, ,0,0.0,0,53,36,9
Thanks Lil Ren,Joyce  Mitchell,4.11,9,197,2,in The United States,0,0.0,0,279,76,274
"Vengeance of Shadows (Baiulus, #1)",Darren Lewis,0.0,11,197,2, ,0,4.6,50,21,19,7
"How to Speak Dragonese (How to Train Your Dragon, #3)",Cressida Cowell,4.14,13133,197,2,The United Kingdom,1966,4.15,161961,13659,146,1927
"Camelea Like a Lobster (Camelea, #2)",Suzanne Gohier,3.73,11,197,2,in The United States,0,3.77,1137,51,7,5
"Free Childrens Book series: Camelea Like a Seagull (Camelea, #1)",Suzanne Gohier,3.75,1066,197,2,in The United States,0,3.77,1137,51,7,5
"The Crystal of Nammu (Aki and the Spheres of Time, #2)",Gianni Perticaroli,4.09,11,197,2,in Italy,0,0.0,0,82,22,33
My Teacher Of The Year,Rain Fields,0.0,3,197,2,The United States,0,5.0,42,3,16,0
Peter Pan: The Complete Adventures,J.M. Barrie,4.25,1658,197,2,Scotland,1860,4.07,384649,15358,728,2048
"Wildwood (Wildwood Chronicles, #1)",Colin Meloy,3.67,30960,197,2,The United States,1974,3.76,45451,5394,16,673
"Polar Bear, Polar Bear, What Do You Hear?",Bill Martin Jr.,4.17,53385,197,2,in The United States,1916,4.22,440391,12416,152,273
Arnie the Doughnut,Laurie Keller,4.14,1766,196,2, ,0,4.15,14834,2643,33,97
"The Sea of Trolls (Sea of Trolls, #1)",Nancy Farmer,4.01,15075,196,2,The United States,0,4.01,147217,11494,41,1363
The Chronicles of Prydain (The Chronicles of Prydain #1-5),Lloyd Alexander,4.42,6930,196,2,The United States,1924,4.04,403779,14777,79,1898
Old Black Witch!,Wende Devlin,4.47,368,196,2,The United States,1918,4.24,4298,469,23,23
Plot Music,Richard Ardizzone,4.3,56,196,2, ,0,0.0,0,171,15,42
"The Star Realm (Avalon Trilogy, #1)",Julie Elizabeth Powell,4.38,42,196,2,The United Kingdom,0,4.14,1344,565,66,0
Enzo Flashfire: The Birth Of Spyridon Five,David Jacks,0.0,26,196,2, ,0,4.81,243,22,18,7
The Cup Final Mouse Who Did It,David Jacks,0.0,22,196,2, ,0,4.81,243,22,18,7
Land Of Mountains,Jinx Schwartz,4.46,194,196,2, ,0,4.2,15569,1586,24,283
Jolly Youngster ABC,John McLoughlin,4.67,3,196,2, ,0,0.0,0,86,8,3
A Titus Adventure,Carol Wills,4.56,9,196,2,The United Kingdom,1945,0.0,0,56,7,11
Sunshine's Excellent Adventures,Reggie and Anita Hill,4.8,15,196,2, ,0,4.8,15,12,1,0
"Messy Bug Returns (Ebook; Messy Bug, #2)",Jenny Colledge,0.0,2,196,2, ,0,0.0,0,16,10,1
"How to Catch a Star (The Boy, #1)",Oliver Jeffers,4.21,6771,195,2,The United Kingdom,0,4.27,157018,18374,67,2148
Pluk van de Petteflet,Annie M.G. Schmidt,4.23,6286,195,2,Netherlands,1911,4.07,24682,1085,224,174
Geheimen van het Wilde Woud  (De brief voor de koning #2),Tonke Dragt,4.2,3811,195,2,Indonesia,1930,4.14,21902,1369,39,226
Dinosaurs Love Underpants,Claire Freedman,3.92,2313,195,2, ,0,3.93,14112,1804,167,44
Alex and the Rabbit: A story designed to teach children a simple technique that helps them stay calm and centered in times of stress.,Monica Dumont,4.75,12,195,2, ,0,0.0,0,53,36,9
"Megan & Flos: Book 1 (Megan & Flos, #1)",Violet Plum,0.0,14,195,2,in The United Kingdom,0,4.84,208,61,21,16
"The Dragonet Prophecy (Wings of Fire, #1)",Tui T. Sutherland,4.26,46502,195,2,Venezuela,1978,4.48,318340,17170,76,3781
The Story Girl,L.M. Montgomery,3.98,10148,194,2,Canada,1874,4.22,1849989,73327,575,9716
Duck in the Truck,Jez Alborough,3.99,3866,194,2,,0,4.04,20271,1416,74,76
"The Miserable Mill (A Series of Unfortunate Events, #4)",Lemony Snicket,3.85,153003,194,2,The United States,0,3.98,2215394,82017,89,22331
"Happy Niners (Sons of the King, #2)",Mark  Miller,4.6,10,193,2,in The United States,1973,4.55,681,104,71,113
